id,owner,device,timestamp,cellinfo.wgs84.lon,cellinfo.wgs84.lat,cellinfo.azimuth_degrees,cell
190,AgentQ,Q_2,2023-05-01 00:52:08,4.331826600915831,52.00559032961253,130,0-0-0
191,AgentR,R_2,2023-05-01 00:52:31,4.356550142366685,51.996416163037686,300,0-0-0
192,AgentH,H_2,2023-05-01 00:52:54,4.356195988642664,52.02068273213007,120,0-0-0
193,AgentA,A_1,2023-05-01 00:53:40,4.355013007950339,52.01068585398698,110,0-0-0
194,AgentJ,J_2,2023-05-01 00:53:40,4.366390654673757,51.99464126281873,240,0-0-0
195,AgentM,M_2,2023-05-01 00:53:40,4.3381867139841965,51.997701092782705,300,0-0-0
196,AgentH,H_2,2023-05-01 00:54:03,4.356195988642664,52.02068273213007,120,0-0-0
197,AgentN,N_1,2023-05-01 00:54:03,4.354546234187175,51.98921655191236,120,0-0-0
198,AgentP,P_1,2023-05-01 00:54:03,4.356550142366685,51.996416163037686,50,0-0-0
199,AgentE,E_2,2023-05-01 00:54:26,4.3458253171449615,51.99296892005271,120,0-0-0
200,AgentQ,Q_1,2023-05-01 00:54:26,4.331826600915831,52.00559032961253,130,0-0-0
201,AgentS,S_1,2023-05-01 00:54:26,4.3530496140647505,52.013077609082096,250,0-0-0
202,AgentS,S_2,2023-05-01 00:54:26,4.3530496140647505,52.013077609082096,250,0-0-0
203,AgentA,A_2,2023-05-01 00:55:35,4.355013007950339,52.01068585398698,110,0-0-0
204,AgentC,C_1,2023-05-01 00:55:35,4.3530496140647505,52.013077609082096,150,0-0-0
205,AgentS,S_2,2023-05-01 00:55:35,4.3530496140647505,52.013077609082096,250,0-0-0
206,AgentQ,Q_1,2023-05-01 00:55:58,4.331826600915831,52.00559032961253,130,0-0-0
207,AgentO,O_2,2023-05-01 00:56:21,4.3497636751020305,52.00588464056726,210,0-0-0
208,AgentS,S_2,2023-05-01 00:56:44,4.3530496140647505,52.013077609082096,250,0-0-0
209,AgentO,O_1,2023-05-01 00:57:07,4.3497636751020305,52.00588464056726,210,0-0-0
210,AgentH,H_2,2023-05-01 00:57:53,4.356195988642664,52.02068273213007,120,0-0-0
211,AgentJ,J_1,2023-05-01 00:57:53,4.366390654673757,51.99464126281873,240,0-0-0
212,AgentJ,J_2,2023-05-01 00:57:53,4.366390654673757,51.99464126281873,240,0-0-0
213,AgentS,S_2,2023-05-01 00:58:16,4.3530496140647505,52.013077609082096,250,0-0-0
214,AgentD,D_2,2023-05-01 00:58:39,4.356550142366685,51.996416163037686,300,0-0-0
215,AgentF,F_2,2023-05-01 00:58:39,4.343948528788537,52.018561346495936,260,0-0-0
216,AgentB,B_1,2023-05-01 00:59:02,4.330403173897175,51.991213434504516,80,0-0-0
217,AgentH,H_1,2023-05-01 00:59:02,4.356195988642664,52.02068273213007,120,0-0-0
218,AgentK,K_1,2023-05-01 00:59:02,4.367075846877175,51.98436404193879,250,0-0-0
219,AgentO,O_2,2023-05-01 00:59:25,4.3497636751020305,52.00588464056726,210,0-0-0
220,AgentD,D_1,2023-05-01 00:59:48,4.356550142366685,51.996416163037686,300,0-0-0
221,AgentJ,J_1,2023-05-01 00:59:48,4.366390654673757,51.99464126281873,240,0-0-0
222,AgentS,S_2,2023-05-01 00:59:48,4.3530496140647505,52.013077609082096,250,0-0-0
223,AgentL,L_2,2023-05-01 01:00:11,4.345045579506649,51.98516872171841,240,0-0-0
224,AgentN,N_1,2023-05-01 01:00:11,4.354546234187175,51.98921655191236,120,0-0-0
225,AgentO,O_1,2023-05-01 01:00:11,4.3497636751020305,52.00588464056726,210,0-0-0
226,AgentM,M_1,2023-05-01 01:00:34,4.3381867139841965,51.997701092782705,300,0-0-0
227,AgentA,A_1,2023-05-01 01:00:57,4.355013007950339,52.01068585398698,110,0-0-0
228,AgentL,L_2,2023-05-01 01:01:20,4.345045579506649,51.98516872171841,240,0-0-0
229,AgentJ,J_2,2023-05-01 01:01:43,4.366390654673757,51.99464126281873,240,0-0-0
230,AgentL,L_2,2023-05-01 01:01:43,4.345045579506649,51.98516872171841,240,0-0-0
231,AgentR,R_1,2023-05-01 01:01:43,4.356550142366685,51.996416163037686,300,0-0-0
232,AgentB,B_1,2023-05-01 01:02:06,4.330403173897175,51.991213434504516,80,0-0-0
233,AgentN,N_1,2023-05-01 01:02:06,4.354546234187175,51.98921655191236,120,0-0-0
234,AgentG,G_1,2023-05-01 01:02:29,4.3530496140647505,52.013077609082096,30,0-0-0
235,AgentO,O_1,2023-05-01 01:02:29,4.3497636751020305,52.00588464056726,210,0-0-0
236,AgentP,P_1,2023-05-01 01:02:29,4.356550142366685,51.996416163037686,50,0-0-0
